Latest: Time (s),Latest: X Acceleration 1 (m/s²),Latest: Y Acceleration 1 (m/s²),Latest: Z Acceleration 1 (m/s²),Latest: X Acceleration 2 (m/s²),Latest: Y Acceleration 2 (m/s²),Latest: Z Acceleration 2 (m/s²),Latest: X Acceleration 3 (m/s²),Latest: Y Acceleration 3 (m/s²),Latest: Z Acceleration 3 (m/s²),FFT: Time - Frequency (Hz),FFT: Z Acceleration 3 - FFT,FFT 2: Time - Frequency (Hz),FFT 2: Z Acceleration 3 - FFT,FFT 3: Time - Frequency (Hz),FFT 3: Z Acceleration 3 - FFT
6.9139,11.1060641308,0.272933456145,-0.604416926537,10.4761739247,-0.358777983958,1.67001667665,10.9203825623,-0.129871736746,-1.64662191531,152.038354404,0.604066735621,,,,
6.915566,11.0696582797,0.202215222671,-0.851930743695,10.4761739247,-0.312633194291,1.80615930236,10.8489637507,-0.129871736746,-1.46442344997,152.074990152,0.389051831574,,,,
6.917232,10.9604407263,0.237574339408,-0.465190404386,10.340031299,-0.404922773625,1.62463580142,10.7775449392,-0.0930944415741,-1.1000265193,152.1116259,0.505997509864,,,,
6.918898,10.8534985386,0.308292572881,0.480665968324,10.2946504237,-0.358777983958,1.08006529859,10.6704167218,-0.0563171464019,-0.553431123291,152.148261648,0.732092568414,,,,
6.920564,10.6373387975,0.308292572881,0.832047190896,10.1131269228,-0.312633194291,0.671637421474,10.5632885045,0.0540147391148,0.503319975658,152.184897396,0.675716842896,,,,
6.92223,10.491715393,0.376800861559,1.04199194652,9.79546079616,-0.404922773625,0.444733045297,10.3847414755,0.090792034287,1.52135390072,152.221533145,0.396866202886,,,,
6.923896,10.4211790564,0.376800861559,0.973483657843,9.75007992092,-0.358777983958,0.671637421474,10.2776132582,0.164346624631,1.95863021753,152.258168893,0.3166589302,,,,
6.925562,10.311961503,0.202215222671,1.35801405236,9.70469904569,-0.312633194291,1.35235055001,10.2776132582,0.090792034287,1.73999205913,152.294804641,0.472672373654,,,,
6.927228,10.3847732053,0.272933456145,1.67403615819,9.75007992092,-0.312633194291,1.89692105283,10.313322664,0.0172374439426,1.70355236606,152.331440389,0.423437834631,,,,
6.928894,10.2755556519,0.237574339408,1.39337316909,9.79546079616,-0.266488404624,1.57925492618,10.2419038524,-0.0563171464019,1.48491420766,152.368076137,0.270780655078,,,,
6.93056,10.3483673541,0.272933456145,1.11271017999,9.70469904569,-0.358777983958,0.943922672886,10.0276474177,0.0540147391148,0.831277213263,152.404711885,0.455137574384,,,,
6.932226,10.3847732053,0.272933456145,1.14806929673,9.65931817045,-0.358777983958,0.444733045297,10.0276474177,0.127569329459,-0.225473885686,152.441347633,0.571213781738,,,,
6.933892,10.5281212441,0.272933456145,1.39337316909,9.79546079616,-0.312633194291,0.580875671003,10.2419038524,0.201123919804,-1.24578529157,152.477983381,0.564076273923,,,,
6.935558,10.7078751341,0.308292572881,1.07735106326,9.75007992092,-0.312633194291,0.943922672886,10.3847414755,0.237901214976,-2.08389823211,152.514619129,0.525613820071,,,,
6.937224,10.7442809852,0.237574339408,0.447516796383,9.79546079616,-0.312633194291,0.989303548122,10.3490320698,0.237901214976,-2.41185546972,152.551254877,0.369171867957,,,,
6.93889,10.8170926875,0.272933456145,-0.184527415287,9.75007992092,-0.404922773625,0.717018296709,10.313322664,0.201123919804,-2.41185546972,152.587890625,0.344506503094,,,,
6.940556,10.7078751341,0.237574339408,-0.394472170912,9.70469904569,-0.497212352959,0.671637421474,10.2776132582,0.090792034287,-2.55761424199,152.624526373,0.571270884381,,,,
6.942222,10.7806868363,0.0961378724605,-0.535908637859,9.75007992092,-0.404922773625,1.26158879953,10.3847414755,0.0540147391148,-2.44829516279,152.661162121,0.674546557623,,,,
6.943888,10.9240348752,0.0961378724605,-0.604416926537,9.75007992092,-0.589501932292,1.71539755189,10.4561602871,-0.0195398512296,-1.93813945985,152.697797869,0.531154347932,,,,
