"Latest: Time (s)","Latest: Y Acceleration 1 (m/s²)","Latest: X Acceleration 1 (m/s²)","Latest: Z Acceleration 1 (m/s²)","Latest: Z Acceleration 2 (m/s²)","Latest: X Acceleration 2 (m/s²)","Latest: Y Acceleration 2 (m/s²)"
8.05511,-1.18938419796,9.56855641998,-0.0998374575283,0.582323428942,10.3051354059,-0.0696079872432
8.056776,-1.18938419796,9.61393729522,-0.0998374575283,0.653041662415,10.1959178525,-0.140326220717
8.058442,-1.18938419796,9.56855641998,-0.0998374575283,0.617682545679,10.1595120014,-0.21104445419
8.060108,-1.18938419796,9.56855641998,-0.0998374575283,0.653041662415,10.2323237036,-0.175685337454
8.061774,-1.18938419796,9.56855641998,-0.0544565822929,0.617682545679,10.1959178525,-0.21104445419
8.06344,-1.18938419796,9.56855641998,-0.0998374575283,0.653041662415,10.1959178525,-0.175685337454
8.065106,-1.18938419796,9.56855641998,-0.0998374575283,0.653041662415,10.1959178525,-0.21104445419
8.066772,-1.18938419796,9.56855641998,-0.0998374575283,0.653041662415,10.1959178525,-0.175685337454
8.068438,-1.18938419796,9.56855641998,-0.0998374575283,0.653041662415,10.2323237036,-0.21104445419
8.070104,-1.18938419796,9.56855641998,-0.0998374575283,0.617682545679,10.1959178525,-0.21104445419
8.07177,-1.18938419796,9.56855641998,-0.0998374575283,0.653041662415,10.2687295548,-0.175685337454
8.073436,-1.18938419796,9.56855641998,-0.0998374575283,0.653041662415,10.1959178525,-0.175685337454
8.075102,-1.18938419796,9.61393729522,-0.0998374575283,0.617682545679,10.2687295548,-0.175685337454
8.076768,-1.18938419796,9.61393729522,-0.0998374575283,0.688400779152,10.3051354059,-0.140326220717
8.078434,-1.18938419796,9.61393729522,-0.0998374575283,0.617682545679,10.2687295548,-0.140326220717
8.0801,-1.18938419796,9.61393729522,-0.0998374575283,0.582323428942,10.341541257,-0.0696079872432
8.081766,-1.18938419796,9.61393729522,-0.0998374575283,0.617682545679,10.3051354059,-0.175685337454
8.083432,-1.23552898763,9.61393729522,-0.0998374575283,0.476246078731,10.1959178525,-0.175685337454
8.085098,-1.18938419796,9.61393729522,-0.0998374575283,0.617682545679,10.3051354059,-0.140326220717
8.086764,-1.23552898763,9.61393729522,-0.0998374575283,0.511605195468,10.2323237036,-0.246403570927
8.08843,-1.23552898763,9.65931817045,-0.0998374575283,0.582323428942,10.3051354059,-0.21104445419
8.090096,-1.23552898763,9.61393729522,-0.0998374575283,0.582323428942,10.2323237036,-0.246403570927
8.091762,-1.23552898763,9.65931817045,-0.0998374575283,0.617682545679,10.2323237036,-0.21104445419
8.093428,-1.23552898763,9.61393729522,-0.0544565822929,0.617682545679,10.2687295548,-0.21104445419
8.095094,-1.23552898763,9.61393729522,-0.0998374575283,0.617682545679,10.2687295548,-0.21104445419
8.09676,-1.23552898763,9.65931817045,-0.0998374575283,0.617682545679,10.2687295548,-0.246403570927
8.098426,-1.23552898763,9.61393729522,-0.0998374575283,0.653041662415,10.2687295548,-0.246403570927
8.100092,-1.2816737773,9.61393729522,-0.0544565822929,0.653041662415,10.3051354059,-0.21104445419
8.101758,-1.2816737773,9.61393729522,-0.0998374575283,0.759119012626,10.3051354059,-0.21104445419
8.103424,-1.2816737773,9.61393729522,-0.0544565822929,0.653041662415,10.3051354059,-0.21104445419
8.10509,-1.23552898763,9.65931817045,-0.0544565822929,0.617682545679,10.3051354059,-0.175685337454
8.106756,-1.2816737773,9.65931817045,-0.0544565822929,0.688400779152,10.2687295548,-0.246403570927
8.108422,-1.2816737773,9.65931817045,-0.0544565822929,0.617682545679,10.1959178525,-0.352480921138
8.110088,-1.2816737773,9.65931817045,-0.00907570705749,0.688400779152,10.3051354059,-0.246403570927
8.111754,-1.32781856696,9.65931817045,-0.0544565822929,0.653041662415,10.1959178525,-0.317121804401
8.11342,-1.2816737773,9.65931817045,-0.0544565822929,0.653041662415,10.3051354059,-0.246403570927
8.115086,-1.2816737773,9.65931817045,-0.0544565822929,0.617682545679,10.2687295548,-0.281762687664
8.116752,-1.2816737773,9.70469904569,-0.0544565822929,0.653041662415,10.3051354059,-0.246403570927
8.118418,-1.2816737773,9.70469904569,-0.0544565822929,0.653041662415,10.3051354059,-0.281762687664
8.120084,-1.32781856696,9.70469904569,-0.0544565822929,0.617682545679,10.3051354059,-0.281762687664
8.12175,-1.32781856696,9.75007992092,-0.0544565822929,0.617682545679,10.3051354059,-0.317121804401
8.123416,-1.32781856696,9.75007992092,-0.0544565822929,0.617682545679,10.3051354059,-0.317121804401
8.125082,-1.32781856696,9.75007992092,-0.0998374575283,0.653041662415,10.341541257,-0.281762687664
8.126748,-1.37396335663,9.75007992092,-0.0998374575283,0.723759895889,10.4143529593,-0.317121804401
8.128414,-1.37396335663,9.75007992092,-0.0998374575283,0.617682545679,10.3779471082,-0.317121804401
8.13008,-1.37396335663,9.79546079616,-0.0544565822929,0.688400779152,10.4507588104,-0.246403570927
8.131746,-1.37396335663,9.75007992092,-0.0998374575283,0.617682545679,10.3779471082,-0.317121804401
8.133412,-1.37396335663,9.79546079616,-0.0544565822929,0.546964312205,10.3779471082,-0.281762687664
8.135078,-1.37396335663,9.75007992092,-0.0544565822929,0.617682545679,10.3779471082,-0.352480921138
8.136744,-1.37396335663,9.79546079616,-0.0544565822929,0.582323428942,10.3051354059,-0.387840037874
8.13841,-1.37396335663,9.79546079616,-0.0544565822929,0.617682545679,10.4143529593,-0.352480921138
8.140076,-1.37396335663,9.79546079616,-0.0544565822929,0.617682545679,10.341541257,-0.387840037874
8.141742,-1.4201081463,9.79546079616,-0.0544565822929,0.617682545679,10.3779471082,-0.352480921138
8.143408,-1.37396335663,9.79546079616,-0.00907570705749,0.617682545679,10.341541257,-0.387840037874
8.145074,-1.4201081463,9.75007992092,-0.00907570705749,0.653041662415,10.3779471082,-0.352480921138
8.14674,-1.37396335663,9.79546079616,0.0363051681779,0.653041662415,10.341541257,-0.352480921138
8.148406,-1.4201081463,9.79546079616,-0.00907570705749,0.653041662415,10.341541257,-0.352480921138
8.150072,-1.37396335663,9.79546079616,0.0363051681779,0.617682545679,10.3779471082,-0.352480921138
8.151738,-1.4201081463,9.79546079616,0.0363051681779,0.617682545679,10.341541257,-0.352480921138
8.153404,-1.4201081463,9.79546079616,0.0363051681779,0.688400779152,10.3779471082,-0.352480921138
8.15507,-1.37396335663,9.79546079616,0.0816860434134,0.723759895889,10.341541257,-0.387840037874
8.156736,-1.4201081463,9.79546079616,0.0816860434134,0.688400779152,10.4143529593,-0.352480921138
8.158402,-1.4201081463,9.84084167139,0.0363051681779,0.759119012626,10.4871646616,-0.317121804401
8.160068,-1.4201081463,9.84084167139,0.0363051681779,0.653041662415,10.4507588104,-0.352480921138
8.161734,-1.4201081463,9.84084167139,-0.00907570705749,0.582323428942,10.341541257,-0.387840037874
8.1634,-1.37396335663,9.88622254663,0.0363051681779,0.653041662415,10.4507588104,-0.352480921138
8.165066,-1.4201081463,9.88622254663,0.0363051681779,0.617682545679,10.341541257,-0.458558271348
8.166732,-1.4201081463,9.84084167139,-0.00907570705749,0.653041662415,10.4507588104,-0.352480921138
8.168398,-1.4201081463,9.88622254663,-0.00907570705749,0.617682545679,10.4143529593,-0.423199154611
8.170064,-1.4201081463,9.88622254663,-0.00907570705749,0.653041662415,10.4507588104,-0.352480921138
8.17173,-1.4201081463,9.88622254663,-0.00907570705749,0.617682545679,10.4507588104,-0.387840037874
8.173396,-1.4201081463,9.88622254663,-0.0544565822929,0.617682545679,10.4507588104,-0.387840037874
8.175062,-1.4201081463,9.88622254663,-0.0544565822929,0.617682545679,10.4871646616,-0.423199154611
8.176728,-1.4201081463,9.88622254663,-0.00907570705749,0.617682545679,10.4871646616,-0.387840037874
8.178394,-1.4201081463,9.88622254663,-0.00907570705749,0.653041662415,10.4871646616,-0.352480921138
8.18006,-1.4201081463,9.88622254663,-0.00907570705749,0.653041662415,10.4871646616,-0.423199154611
8.181726,-1.4201081463,9.93160342186,-0.00907570705749,0.653041662415,10.5235705127,-0.352480921138
8.183392,-1.4201081463,9.88622254663,-0.00907570705749,0.759119012626,10.5235705127,-0.387840037874
8.185058,-1.4201081463,9.88622254663,-0.00907570705749,0.653041662415,10.5235705127,-0.387840037874
8.186724,-1.4201081463,9.88622254663,0.0363051681779,0.688400779152,10.596382215,-0.281762687664
8.18839,-1.4201081463,9.93160342186,0.0363051681779,0.688400779152,10.5235705127,-0.387840037874
8.190056,-1.4201081463,9.88622254663,0.0363051681779,0.617682545679,10.4507588104,-0.458558271348
8.191722,-1.4201081463,9.88622254663,0.0363051681779,0.723759895889,10.5235705127,-0.387840037874
8.193388,-1.46625293596,9.88622254663,0.0363051681779,0.653041662415,10.4871646616,-0.458558271348
8.195054,-1.4201081463,9.93160342186,0.0363051681779,0.688400779152,10.4871646616,-0.387840037874
8.19672,-1.4201081463,9.88622254663,0.0816860434134,0.688400779152,10.4507588104,-0.458558271348
8.198386,-1.4201081463,9.93160342186,0.0816860434134,0.688400779152,10.4507588104,-0.387840037874
8.200052,-1.4201081463,9.88622254663,0.0363051681779,0.688400779152,10.4871646616,-0.458558271348
8.201718,-1.4201081463,9.88622254663,0.0816860434134,0.688400779152,10.4871646616,-0.387840037874
8.203384,-1.4201081463,9.93160342186,0.0816860434134,0.653041662415,10.4871646616,-0.387840037874
8.20505,-1.4201081463,9.93160342186,0.0816860434134,0.653041662415,10.4871646616,-0.387840037874
